-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 11:56:10] | DIM| |0| |21| |     0| fibonacci                    |      | |   93968| |   0x3e4|
[2022-08-30 11:56:15] | DIM| |0| |21| |     0| hello-world                  |      | |   21136| |   0x420|
[2022-08-30 11:56:20] | DIM| |0| |21| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:56:31] | DIM| |0| |22| |     0| csr_instr_asm                |      | |    6912| |  0x611c|
[2022-08-30 11:56:36] | DIM| |0| |22| |     0| csr_instructions             |      | |   13421| |   0x388|
[2022-08-30 11:56:42] | DIM| |0| |22| |     0| dhrystone                    |      | |  306194| |   0xb04|
[2022-08-30 11:56:46] | DIM| |0| |22| |     0| fibonacci                    |      | |   93921| |   0x3e4|
[2022-08-30 11:56:51] | DIM| |0| |22| |     0| hello-world                  |      | |   21101| |   0x420|
[2022-08-30 11:56:55] | DIM| |0| |22| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:57:06] | DIM| |0| |23| |     0| csr_instr_asm                |      | |    6872| |  0x611c|
[2022-08-30 11:57:10] | DIM| |0| |23| |     0| csr_instructions             |      | |   13411| |   0x388|
[2022-08-30 11:57:15] | DIM| |0| |23| |     0| dhrystone                    |      | |  305956| |   0xb04|
[2022-08-30 11:57:20] | DIM| |0| |23| |     0| fibonacci                    |      | |   93825| |   0x3e4|
[2022-08-30 11:57:23] | DIM| |0| |23| |     0| hello-world                  |      | |   21081| |   0x420|
[2022-08-30 11:57:27] | DIM| |0| |23| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:57:38] | DIM| |0| |24| |     0| csr_instr_asm                |      | |    6836| |  0x611c|
[2022-08-30 11:57:42] | DIM| |0| |24| |     0| csr_instructions             |      | |   13412| |   0x388|
[2022-08-30 11:57:47] | DIM| |0| |24| |     0| dhrystone                    |      | |  305956| |   0xb04|
[2022-08-30 11:57:52] | DIM| |0| |24| |     0| fibonacci                    |      | |   93826| |   0x3e4|
[2022-08-30 11:57:56] | DIM| |0| |24| |     0| hello-world                  |      | |   21082| |   0x420|
[2022-08-30 11:58:00] | DIM| |0| |24| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:58:12] | DIM| |0| |25| |     0| csr_instr_asm                |      | |    6802| |  0x611c|
[2022-08-30 11:58:16] | DIM| |0| |25| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 11:58:21] | DIM| |0| |25| |     0| dhrystone                    |      | |  305954| |   0xb04|
[2022-08-30 11:58:26] | DIM| |0| |25| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 11:58:30] | DIM| |0| |25| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 11:58:34] | DIM| |0| |25| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:58:45] | DIM| |0| |26| |     0| csr_instr_asm                |      | |    6774| |  0x611c|
[2022-08-30 11:58:49] | DIM| |0| |26| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 11:58:55] | DIM| |0| |26| |     0| dhrystone                    |      | |  305954| |   0xb04|
[2022-08-30 11:59:00] | DIM| |0| |26| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 11:59:04] | DIM| |0| |26| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 11:59:08] | DIM| |0| |26| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:59:20] | DIM| |0| |27| |     0| csr_instr_asm                |      | |    6746| |  0x611c|
[2022-08-30 11:59:24] | DIM| |0| |27| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 11:59:30] | DIM| |0| |27| |     0| dhrystone                    |      | |  305954| |   0xb04|
-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 11:59:34] | DIM| |0| |27| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 11:59:38] | DIM| |0| |27| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 11:59:42] | DIM| |0| |27| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 11:59:54] | DIM| |0| |28| |     0| csr_instr_asm                |      | |    6722| |  0x611c|
[2022-08-30 11:59:58] | DIM| |0| |28| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:00:03] | DIM| |0| |28| |     0| dhrystone                    |      | |  305954| |   0xb04|
[2022-08-30 12:00:08] | DIM| |0| |28| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:00:12] | DIM| |0| |28| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:00:16] | DIM| |0| |28| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 12:00:27] | DIM| |0| |29| |     0| csr_instr_asm                |      | |    6700| |  0x611c|
[2022-08-30 12:00:31] | DIM| |0| |29| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:00:36] | DIM| |0| |29| |     0| dhrystone                    |      | |  305954| |   0xb04|
[2022-08-30 12:00:41] | DIM| |0| |29| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:00:45] | DIM| |0| |29| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:00:50] | DIM| |0| |29| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 12:01:01] | DIM| |0| |30| |     0| csr_instr_asm                |      | |    6680| |  0x611c|
[2022-08-30 12:01:05] | DIM| |0| |30| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:01:11] | DIM| |0| |30| |     0| dhrystone                    |      | |  305754| |   0xb04|
[2022-08-30 12:01:15] | DIM| |0| |30| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:01:19] | DIM| |0| |30| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:01:24] | DIM| |0| |30| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 12:01:35] | DIM| |0| |31| |     0| csr_instr_asm                |      | |    6660| |  0x611c|
[2022-08-30 12:01:40] | DIM| |0| |31| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:01:46] | DIM| |0| |31| |     0| dhrystone                    |      | |  305754| |   0xb04|
[2022-08-30 12:01:50] | DIM| |0| |31| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:01:55] | DIM| |0| |31| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:01:59] | DIM| |0| |31| |     0| load_store_rs1_zero          |      | |      65| |   0x160|
[2022-08-30 12:02:12] | DIM| |0| |32| |     0| csr_instr_asm                |      | |    6642| |  0x611c|
[2022-08-30 12:02:17] | DIM| |0| |32| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:02:22] | DIM| |0| |32| |     0| dhrystone                    |      | |  305754| |   0xb04|
[2022-08-30 12:02:27] | DIM| |0| |32| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:02:31] | DIM| |0| |32| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:02:35] | DIM| |0| |32| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:02:46] | DIM| |0| |33| |     0| csr_instr_asm                |      | |    6626| |  0x611c|
[2022-08-30 12:02:50] | DIM| |0| |33| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:02:55] | DIM| |0| |33| |     0| dhrystone                    |      | |  305754| |   0xb04|
[2022-08-30 12:03:00] | DIM| |0| |33| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:03:04] | DIM| |0| |33| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:03:07] | DIM| |0| |33| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:03:18] | DIM| |0| |34| |     0| csr_instr_asm                |      | |    6610| |  0x611c|
[2022-08-30 12:03:22] | DIM| |0| |34| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:03:27] | DIM| |0| |34| |     0| dhrystone                    |      | |  305754| |   0xb04|
[2022-08-30 12:03:32] | DIM| |0| |34| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:03:36] | DIM| |0| |34| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:03:40] | DIM| |0| |34| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 12:03:50] | DIM| |0| |35| |     0| csr_instr_asm                |      | |    6596| |  0x611c|
